id,"bike_brand_and_model","strava_bike_id","strava_bike_name",strava_user_id,chain_used_miles,"new_chain_date",new_chain_mile_marker,cassette_used_miles,"new_cassette_date",new_cassette_mile_marker,front_fork_used_miles,front_fork_mile_marker,"front_fork_service_date",rear_shock_used_miles,rear_shock_mile_marker,"rear_shock_service_date",chain_ring_used_miles,new_chain_ring_mile_marker,"new_chain_ring_date",bottom_bracket_used_miles,"new_bottom_bracket_date",new_bottom_bracket_mile_marker,sealant_used_hours,"sealant_refresh_date",brake_bleed_used_miles,"brake_bleed_date",brake_bleed_mile_marker,brake_pads_used_miles,"new_brake_pads_date",new_brake_pads_mile_marker,brake_rotors_used_miles,"new_brake_rotors_date",new_brake_rotors_mile_marker,tires_used_miles,"new_tires_date",new_tires_mile_marker,total_miles,dropper_used_miles,"dropper_service_date",dropper_mile_marker,sealant_hour_marker,AXS_hour_marker,AXS_show,"AXS_recharge_date",AXS_used_hours,front_fork_PSI,front_fork_REB_click,"front_fork_REB_dir",front_fork_SAG,rear_shock_PSI,rear_shock_REB_click,"rear_shock_REB_dir",rear_shock_SAG,rear_suspension_show,front_fork_show,dropper_show,sealant_show,brake_pads_show,brake_bleed_show,brake_rotors_show,"bike_type"
11,"Scott Spark","b5734928","Spark Plus",892461,108,"2022-01-13",5533,108,"2022-01-13",5533,5641,0,"2022-01-13",5641,0,"2022-01-13",108,5533,"2022-01-13",108,"2022-01-13",5533,662,"2026-03-08",108,"2022-01-13",5533,87,"2025-06-28",5554,108,"2022-01-13",5533,108,"2022-01-13",5533,5641,108,"2022-04-16",5533,492483,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
12,"Specialized Roubaix","b7452464","Specialized Roubaix",892461,4285,"2022-01-26",1200,4729,NULL,756,0,0,NULL,0,0,NULL,4729,756,NULL,4729,NULL,756,0,NULL,0,"2022-01-13",0,4285,"2022-01-26",1200,0,NULL,756,4729,NULL,756,5485,0,NULL,0,456582,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,0,0,0,1,0,0,"Road"
17,NULL,"111","Jolly Bike",999,0,NULL,100,0,NULL,100,0,0,NULL,0,0,NULL,0,100,NULL,0,NULL,100,0,NULL,0,NULL,100,0,NULL,100,0,NULL,100,0,NULL,100,100,0,NULL,0,456582,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
39,"Scott Spark RC 900 Team","b10084455","Sparky",36778899,2451,"2021-12-04",0,2451,"2021-12-04",0,2451,0,"2023-04-19",2451,0,"2023-04-19",2451,0,"2021-12-04",2451,"2023-04-19",0,493733,"2026-03-12",666,"2025-11-27",1785,666,"2025-11-27",1785,2451,"2021-12-04",0,2451,"2022-03-05",0,2451,2451,NULL,0,0,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
90,NULL,"b10089506","Ellen",32607938,27,NULL,0,27,NULL,0,27,0,NULL,27,0,NULL,27,0,NULL,27,NULL,0,29821,NULL,27,NULL,0,27,NULL,0,27,NULL,0,27,NULL,0,27,27,NULL,0,456582,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
172,NULL,"b8604913","Spursquatch (TR Spur)",11177429,493,"2023-07-11",3587,493,"2023-07-11",3587,493,3587,"2023-07-11",493,3587,"2023-07-11",493,3587,"2023-07-11",493,"2023-07-11",3587,9952,"2023-07-11",493,"2023-07-11",3587,493,"2023-07-11",3587,493,"2023-07-11",3587,493,"2023-07-11",3587,4080,463,"2023-07-26",3617,469196,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
174,NULL,"b4550956","2017 Scott Speedster Gravel 20 disc",14298849,214,"2022-02-28",-76,914,"2022-02-28",-776,14,124,"2022-02-28",14,124,"2022-02-28",1514,-1376,"2022-02-28",3014,"2022-02-28",-2876,1300,NULL,14,"2022-02-28",124,264,"2022-02-28",-126,14,"2022-02-28",124,2014,"2022-02-28",-1876,138,14,"2022-02-28",124,457240,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
175,"Scott Contessa Spark 900 RC","b4550951","Scott Spark 900 RC (Teal)",14298849,3976,"2022-03-04",3249,3976,"2022-03-04",3249,3976,3249,NULL,3976,3249,NULL,3976,3249,NULL,3976,NULL,3249,35842,"2022-03-26",0,NULL,3249,3976,NULL,3249,0,NULL,3249,3976,NULL,3249,7225,3976,"2022-03-04",3249,457850,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
176,NULL,"b4550947","Scott Spark 700 RC",14298849,54,NULL,505,54,NULL,505,54,505,NULL,54,505,NULL,54,505,NULL,54,NULL,505,1375,NULL,54,NULL,505,54,NULL,505,54,NULL,505,54,NULL,505,559,559,NULL,0,457243,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
177,NULL,"b4550957","Scott Speedster 20",14298849,0,NULL,256,0,NULL,256,0,256,NULL,0,256,NULL,0,256,NULL,0,NULL,256,0,NULL,0,NULL,256,0,NULL,256,0,NULL,256,0,NULL,256,256,0,NULL,0,457243,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
178,NULL,"b4550952","Scott Spark 720 Plus",14298849,0,NULL,128,0,NULL,128,0,128,NULL,0,128,NULL,0,128,NULL,0,NULL,128,0,NULL,0,NULL,128,0,NULL,128,0,NULL,128,0,NULL,128,128,0,NULL,0,457243,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
182,"Scott Ransom 900 Tuned AXS","b8998999","Renai",32790300,1237,"2024-10-15",0,1237,NULL,0,736,501,"2022-03-24",736,501,"2022-03-24",1237,0,NULL,1237,NULL,0,21,"2026-03-21",1237,NULL,0,536,"2022-04-06",701,1237,NULL,0,1237,NULL,0,1237,1237,NULL,0,492794,27394927,1,NULL,0,100,2,"fast",20,150,0,"Center",20,1,1,1,1,1,1,1,"Mountain"
190,"Santa Cruz Blur","b8722228","Sandy",32790300,496,"2024-10-15",0,496,"2022-08-01",0,496,0,"2025-09-11",496,0,"2024-11-11",496,0,"2022-08-01",496,"2022-08-01",0,349,"2026-03-08",496,"2025-04-18",0,496,"2022-08-01",0,496,"2022-08-01",0,496,"2022-08-01",0,496,496,"2024-11-12",0,492481,27394927,1,NULL,0,100,3,"fast",25,0,0,"none",0,1,1,1,1,1,1,1,"Mountain"
192,"Specialized Allez","b10482015","Allez",32790300,371,"2025-03-03",0,371,"2025-03-03",0,0,0,NULL,0,0,NULL,371,0,"2025-03-03",371,"2025-03-03",0,0,"2022-03-26",0,"2025-03-03",0,371,"2025-03-03",0,0,"2025-03-03",0,371,"2025-04-11",0,371,0,NULL,0,457866,27394927,1,NULL,0,100,3,"Slow",25,100,3,"Slow",30,0,0,0,0,1,0,0,"Road"
210,"Scott Spark Plus","b10629518","Plus",13839777,10825,NULL,0,10825,NULL,0,10825,0,NULL,10825,0,NULL,10825,0,NULL,10825,NULL,0,35657,NULL,0,NULL,0,10825,NULL,0,0,NULL,0,10825,NULL,0,10825,10825,NULL,0,458019,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
211,NULL,"b10629520","Sl ",13839777,0,NULL,0,0,NULL,0,0,0,NULL,0,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,0,NULL,0,458019,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
214,NULL,"b10439181","chanes chane",43375314,0,"2023-03-03",481,0,"2023-03-03",481,0,481,"2023-03-03",0,481,"2023-03-03",0,481,"2023-03-03",0,"2023-03-03",481,844,"2023-01-16",0,"2023-03-03",481,0,"2023-03-03",481,0,"2023-03-03",481,0,"2023-03-03",481,481,0,"2023-03-03",481,464970,27394927,1,NULL,0,65,5,"Center",5,120,0,"center",0,1,1,1,1,1,NULL,NULL,"Bike"
215,"Scott Contessa Speedster 10","b10438086","Tessa",36778899,734,NULL,0,734,NULL,0,734,0,NULL,734,0,NULL,734,0,NULL,734,NULL,0,31462,NULL,734,NULL,0,734,NULL,0,734,NULL,0,734,NULL,0,734,734,NULL,0,458283,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,0,0,0,0,1,1,1,"Gravel"
216,NULL,"b10337705","Yeti ",95095503,471,"2022-08-12",184,471,"2022-08-12",184,471,184,"2022-08-12",579,76,NULL,471,184,"2022-08-12",471,"2022-08-12",184,16417,"2022-08-12",471,"2022-08-12",184,729,"2022-04-14",-74,579,NULL,76,639,"2022-04-22",16,655,655,NULL,0,461187,27394927,1,NULL,0,100,12,"Slow",30,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
218,"Santa Cruz Heckler CC","b10684118","Heckler",97309547,276,NULL,0,276,NULL,0,276,0,NULL,276,0,NULL,276,0,NULL,276,NULL,0,34525,NULL,0,NULL,0,276,NULL,0,0,NULL,0,276,NULL,0,276,276,NULL,0,458412,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
239,NULL,"b10993652","Chonker",11177429,221,NULL,0,221,NULL,0,221,0,NULL,221,0,NULL,221,0,NULL,221,NULL,0,8541,NULL,221,NULL,0,221,NULL,0,221,NULL,0,221,NULL,0,221,221,NULL,0,459831,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
257,NULL,"b11068931","mtb",89554518,1893,NULL,0,1893,NULL,0,1893,0,NULL,1893,0,NULL,1893,0,NULL,1893,NULL,0,14380,NULL,1893,NULL,0,1893,NULL,0,1893,NULL,0,1893,NULL,0,1893,1893,NULL,0,460005,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
267,NULL,"b11169479","Genius ",91084926,480,"2022-11-12",338,480,"2022-11-06",338,818,0,"2022-07-14",818,0,"2022-07-14",440,378,"2022-12-25",818,"2022-07-14",0,11344,"2023-06-15",818,"2022-07-14",0,818,"2022-07-14",0,818,"2022-07-14",0,818,"2022-07-14",0,818,818,"2022-07-14",0,468553,27394927,1,NULL,0,0,0,"none",0,0,0,"none",0,1,1,1,1,1,NULL,NULL,"Bike"
