id,"part_type",used_miles,"date_replaced","model",strava_user_id,"strava_bike_id","broken_worn","bike_type"
1,"sealant",13567,"2022-02-17","N/A",11177429,"b8604913",NULL,NULL
2,"brake bleed",2015,"2022-02-17","N/A",11177429,"b8604913",NULL,NULL
3,"brake bleed",2039,"2022-02-22","N/A",11177429,"b8604913",NULL,NULL
4,"sealant",4816,"2022-02-22","N/A",11177429,"b8604913",NULL,NULL
5,"dropper",3249,"2022-03-04","unknown",14298849,"b4550951",NULL,NULL
6,"sealant",3558,"2022-03-04","N/A",14298849,"b4550951",NULL,NULL
7,"sealant",20358,"2022-03-11","N/A",11177429,"b8604913",NULL,NULL
8,"sealant",1,"2022-03-14","N/A",36778899,"b10084455",NULL,NULL
9,"sealant",13946,"2022-03-16","N/A",32790300,"b8722228",NULL,NULL
10,"sealant",20131,"2022-03-19","N/A",14298849,"b4550951",NULL,NULL
11,"sealant",5578,"2022-03-23","N/A",14298849,"b4550951",NULL,NULL
12,"brake pads",2414,"2022-03-24","unknown",892461,"b9172296",NULL,NULL
13,"front fork",2414,"2022-03-24","unknown",892461,"b9172296",NULL,NULL
14,"rear shock",2414,"2022-03-24","unknown",892461,"b9172296",NULL,NULL
15,"dropper",2414,"2022-03-24","unknown",892461,"b9172296",NULL,NULL
16,"front fork",650,"2022-03-24","unknown",32790300,"b8998999",NULL,NULL
17,"rear shock",650,"2022-03-24","unknown",32790300,"b8998999",NULL,NULL
18,"sealant",7829,"2022-03-26","N/A",32790300,"b8722228",NULL,NULL
19,"sealant",3,"2022-03-26","N/A",32790300,"b8722228",NULL,NULL
20,"sealant",3043,"2022-03-26","N/A",14298849,"b4550951",NULL,NULL
21,"sealant",749,"2022-03-26","N/A",32790300,"b8722228",NULL,NULL
22,"sealant",28,"2022-03-26","N/A",32790300,"b10482015",NULL,NULL
23,"brake pads",650,"2022-04-06","unknown",32790300,"b8998999",NULL,NULL
24,"dropper",5533,"2022-04-16","unknown",892461,"b5734928",NULL,NULL
25,"tires",2767,"2022-04-22","unknown",892461,"b9172296",NULL,NULL
26,"sealant",2104,"2022-04-29","N/A",892461,"b9172296",NULL,NULL
27,"cassette",129,"2022-04-30","\"XX1\"",11177429,"b8604913",NULL,NULL
28,"front fork",1000,"2022-06-01","unknown",95938847,"b10145659",NULL,NULL
29,"rear shock",1000,"2022-06-01","unknown",95938847,"b10145659",NULL,NULL
30,"brake bleed",3057,"2022-06-09","N/A",892461,"b9172296",NULL,NULL
31,"sealant",2311,"2022-06-16","N/A",11177429,"b8604913",NULL,NULL
32,"brake pads",957,"2022-07-02","unknown",892461,"b9172296",NULL,NULL
44,"brake pads",12,"2022-07-26","unknown",40573190,"b9609983",NULL,NULL
45,"brake bleed",12,"2022-07-26","N/A",40573190,"b9609983",NULL,NULL
46,"chain",137,"2022-08-03","\"\"",43375314,"b10439181",NULL,NULL
47,"sealant",3890,"2022-08-11","N/A",32790300,"b8998999",NULL,NULL
48,"bottom bracket",108,"2022-08-12","unknown",95095503,"b10337705",NULL,NULL
49,"chainring",108,"2022-08-12","unknown",95095503,"b10337705",NULL,NULL
50,"cassette",108,"2022-08-12","\"X01\"",95095503,"b10337705",NULL,NULL
51,"brake bleed",108,"2022-08-12","N/A",95095503,"b10337705",NULL,NULL
52,"front fork",108,"2022-08-12","unknown",95095503,"b10337705",NULL,NULL
53,"chain",168,"2022-08-12","\"X01\"",95095503,"b10337705",NULL,NULL
54,"sealant",2759,"2022-08-12","N/A",95095503,"b10337705",NULL,NULL
55,"sealant",2598,"2022-08-16","N/A",892461,"b9172296",NULL,NULL
56,"chain",1854,"2022-08-18","\"XX1\"",11177429,"b8604913",NULL,NULL
57,"sealant",2925,"2022-08-20","N/A",43375314,"b10439181",NULL,NULL
58,"sealant",1687,"2022-08-25","N/A",11177429,"b8604913",NULL,NULL
59,"chainring",149,"2022-09-09","unknown",91084926,"b11169479",NULL,NULL
60,"chainring",88,"2022-09-09","unknown",40573190,"b9609983",NULL,NULL
61,"brake bleed",319,"2022-09-20","N/A",43375314,"b10439181",NULL,NULL
62,"sealant",1729,"2022-09-25","N/A",91084926,"b11169479",NULL,NULL
63,"brake rotors",293,"2022-10-01","N/A",103883118,"b11340096",NULL,NULL
64,"brake bleed",293,"2022-10-01","N/A",103883118,"b11340096",NULL,NULL
65,"brake pads",293,"2022-10-01","unknown",103883118,"b11340096",NULL,NULL
66,"chain",257,"2022-10-02","\"\"",21956011,"b11201100",NULL,NULL
67,"sealant",1116,"2022-10-07","N/A",43375314,"b10439181",NULL,NULL
68,"sealant",2069,"2022-10-15","N/A",21956011,"b11201100",NULL,NULL
69,"rear shock",448,"2022-10-16","unknown",43375314,"b10439181",NULL,NULL
70,"cassette",338,"2022-11-06","\"\"",91084926,"b11169479",NULL,NULL
71,"chain",338,"2022-11-12","\"\"",91084926,"b11169479",NULL,NULL
72,"sealant",64501,"2022-12-09","N/A",892461,"b5734928",NULL,NULL
73,"sealant",2293,"2022-12-09","N/A",892461,"b9172296",NULL,NULL
74,"sealant",956,"2022-12-14","N/A",21956011,"b11201100",NULL,NULL
75,"chainring",229,"2022-12-25","unknown",91084926,"b11169479",NULL,NULL
76,"brake rotors",4294,"2023-01-15","N/A",892461,"b9172296",NULL,NULL
77,"sealant",2422,"2023-01-16","N/A",43375314,"b10439181",NULL,NULL
78,"sealant",2859,"2023-02-18","N/A",40573190,"b11623695",NULL,NULL
79,"sealant",4197,"2023-03-19","N/A",91084926,"b11169479",NULL,NULL
80,"sealant",2336,"2023-03-22","N/A",21956011,"b11201100",NULL,NULL
81,"front fork",2639,"2023-04-02","unknown",892461,"b9172296",NULL,NULL
82,"rear shock",2666,"2023-04-02","unknown",892461,"b9172296",NULL,NULL
83,"dropper",2666,"2023-04-02","unknown",892461,"b9172296",NULL,NULL
84,"sealant",8758,"2023-04-19","N/A",36778899,"b10084455",NULL,NULL
85,"rear shock",1060,"2023-04-19","unknown",36778899,"b10084455",NULL,NULL
86,"front fork",1060,"2023-04-19","unknown",36778899,"b10084455",NULL,NULL
87,"bottom bracket",1043,"2023-04-19","unknown",36778899,"b10084455",NULL,NULL
88,"chain",419,"2023-04-25","\"\"",21956011,"b11201100",NULL,NULL
89,"brake rotors",685,"2023-04-28","N/A",21956011,"b11201100",NULL,NULL
90,"sealant",2012,"2023-06-15","N/A",91084926,"b11169479",NULL,NULL
91,"sealant",2813,"2023-06-16","N/A",40573190,"b11623695",NULL,NULL
92,"brake pads",1018,"2023-06-21","unknown",103883118,"b11340096",NULL,NULL
93,"dropper",1311,"2023-06-21","unknown",103883118,"b11340096",NULL,NULL
94,"chain",347,"2023-07-03","\"\"",21956011,"b11201100",NULL,NULL
95,"brake bleed",1027,"2023-07-06","N/A",21956011,"b11201100",NULL,NULL
96,"chain",1019,"2023-07-11","\"XX1\"",11177429,"b8604913",NULL,NULL
97,"brake pads",1602,"2023-07-11","unknown",11177429,"b8604913",NULL,NULL
98,"bottom bracket",1602,"2023-07-11","unknown",11177429,"b8604913",NULL,NULL
99,"sealant",7671,"2023-07-11","N/A",11177429,"b8604913",NULL,NULL
100,"front fork",1602,"2023-07-11","unknown",11177429,"b8604913",NULL,NULL
